Date,Day in Year,Temperature,Humidity,Pressure,Wind Speed,Wind Direction,Rainfall
1992/07/01,183,29.5,77,1004.8,6.4,180,0.025
1992/07/02,184,29.3,79,1004.8,7.4,180,1.2
1992/07/03,185,29.6,78,1004,8.5,230,0.6
1992/07/04,186,29.5,80,1003.4,11,220,0.9
1992/07/05,187,29.4,80,1004.8,14.5,220,1.8
1992/07/06,188,28.4,83,1003.6,16.8,230,29.7
1992/07/07,189,25.4,89,1002.4,10.3,280,73.4
1992/07/08,190,25.3,84,1005.1,4.9,120,1.6
1992/07/09,191,27.6,81,1009.2,8.9,170,0.025
1992/07/10,192,27.8,82,1011.8,7.2,170,3
1992/07/11,193,28.5,79,1012.3,6.5,130,0
1992/07/12,194,27.3,83,1010.5,11,120,27.2
1992/07/13,195,28.1,85,1011.2,15,130,9.8
1992/07/14,196,28.6,81,1012.5,8.5,120,0
1992/07/15,197,28.6,70,1011,4.5,280,0
1992/07/16,198,29.1,72,1008.7,6.4,290,0.025
1992/07/17,199,28,85,1006.7,10.3,120,6.7
1992/07/18,200,25.3,91,1005.4,18.8,210,177.7
1992/07/19,201,27.7,81,1008,6.9,170,0
1992/07/20,202,28.3,81,1008.1,5.3,130,0
1992/07/21,203,27.8,80,1005.7,9.3,100,2.2
1992/07/22,204,26.9,84,1004.1,25.2,130,19.3
1992/07/23,205,27.2,85,1008.8,17.6,140,3
1992/07/24,206,28.3,84,1010,11.3,130,0
1992/07/25,207,28.7,81,1010.3,10.1,130,0
1992/07/26,208,28.6,81,1010.8,11.2,130,0.025
1992/07/27,209,29.2,81,1010.6,11.9,130,0.025
1992/07/28,210,29.3,79,1010.8,9.2,130,0
1992/07/29,211,28.9,78,1010.1,6,280,0
1992/07/30,212,29.2,79,1007.8,7,270,0
1992/07/31,213,29.5,82,1006.6,5.9,280,0
1992/08/01,214,29.5,78,1007.1,6.3,170,0.2
1992/08/02,215,29.1,77,1008.1,3.9,170,0
1992/08/03,216,29.8,72,1009.2,5,280,0
1992/08/04,217,29.7,74,1009.6,6.7,280,0
1992/08/05,218,29.6,76,1008.4,7.2,280,0
1992/08/06,219,29.7,78,1007.4,7.6,280,0
1992/08/07,220,30.3,77,1005.6,6.2,280,0
1992/08/08,221,29.9,83,1006.2,5.4,280,7.3
1992/08/09,222,29.4,83,1008.4,4.3,120,0.025
1992/08/10,223,29.3,81,1009.3,9.4,130,6.9
1992/08/11,224,28.7,85,1009.3,12.1,130,14.2
1992/08/12,225,29,81,1007.6,9.9,130,0.4
1992/08/13,226,29.1,80,1005.1,7.9,130,0.8
