YEAR,GDP,TOTAL POPULATION,Inflation rate,working age,average_property_price_of_housing_estates
2000,1716.69,6.66,-3.69,4.78,4000
2001,1694.04,6.71,-1.66,4.83,3800
2002,1663.49,6.74,-2.98,4.86,3600
2003,1613.86,6.73,-2.67,4.87,3700
2004,1691,6.78,-0.27,4.93,4200
2005,1815.69,6.81,0.83,4.97,6100
2006,1935.35,6.86,2,5.04,6600
2007,2115.97,6.92,2.04,5.1,7200
2008,2192.79,6.96,4.3,5.15,7900
2009,2140.48,6.97,0.58,5.18,8100
2010,2286.39,7.02,2.29,5.23,9200
2011,2485.14,6.97,5.31,5.27,10100
2012,2626.29,7.07,4.05,5.31,11200
2013,2756.97,7.15,4.34,5.31,13200
2014,2914.6,7.18,4.42,5.31,10000
2015,3093.86,7.23,2.99,5.32,10370
2016,3208.6,7.29,2.41,5.3,11588
2017,3412.73,7.34,1.49,5.28,12805
2018,3617.31,7.39,2.41,5.26,13791
2019,3630.75,7.45,2.88,5.24,13481
2020,3449.43,7.51,0.25,5.16,13610
2021,3689.11,7.48,1.57,5.06,13455
2022,3598.39,7.41,1.88,5.16,12020
